"","X","TransectGroup","SPECIES","Count.FF","Count.POV","Count.BM","Count.TC","Photo.ID","BSS.1","BSS.2","BSS.3","Glare.1","Glare.2","Glare.3","BH.W","BH.F","BH.WF","BH.FW","BH.2F1W","BH.B","BH.BW","BH.Piling","BH.P","BH.F1W","BH.M","BH.H","BH.R","platform","Group","sp.group"
"63","121","20120308_025 5","MALL",13,8,"0","0","3740","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5 5","mallard duck"
"64","122","20120308_025 5","NOPI",18,18,"0","0","3728","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5 5","northern pintail"
"65","123","20120308_025 5","UNCO",0,0,"0","0","3733","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5 5","UNCO"
"66","124","20120308_025 5","UNDU",0,0,"0","0","2044","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5 5","UNDU"
"67","125","20120308_025 5","UNGU",0,0,"14","9","3738","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5 5","gull"
"68","126","20120308_025 5","UNPD",0,0,"20","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5 5","UNPD"
"69","127","20120308_026 1","UNGU",0,0,"2","1","3744","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","6 1","gull"
"70","128","20120308_026 2","AMWI",5,2,"0","0","3782","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","6 2","American wigeon"
"71","129","20120308_026 3","BUFF",6,5,"4","0","3801","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","6 3","bufflehead"
"72","130","20120308_026 4","UNGU",0,0,"0","0","2109","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","6 4","gull"
"73","131","20120308_026 5","COGO",4,3,"2","0","3840","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","6 5","common goldeneye"
"74","132","20120308_026 6","BUFF",8,0,"11","9","2141","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","6 6","bufflehead"
"75","133","20120308_026 6","GWGU",0,0,"0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","6 6","gull"
"76","134","20120308_027 1","BUFF",16,16,"21","13","3960","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","7 1","bufflehead"
"77","135","20120308_027 2","BUFF",21,12,"13","13","4011","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 2","bufflehead"
"78","136","20120308_027 3","BUFF",5,3,"1","2","4055","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 3","bufflehead"
"79","137","20120308_027 3","SUSC",1,3,"3","0","4056","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 3","surf scoter"
"80","138","20120308_027 3","UNSC",0,0,"0","3","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 3","UNSC"
"81","139","20120308_027 4","BUFF",18,18,"14","10","4073","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 4","bufflehead"
"82","140","20120308_027 4","COGO",1,0,"0","0","2222","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 4","common goldeneye"
"83","141","20120308_027 4","SUSC",6,3,"5","3","4075","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 4","surf scoter"
"84","142","20120308_027 4","UNSC",0,0,"0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 4","UNSC"
"85","145","20120308_028 2","BUFF",1,0,"1","0","2246","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 2","bufflehead"
"86","146","20120308_028 2","UNDD",0,0,"0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 2","UNDD"
"87","147","20120308_028 3","BUFF",7,6,"10","6","4137","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 3","bufflehead"
"88","148","20120308_028 4","BUFF",4,4,"2","2","4163","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 4","bufflehead"
"89","149","20120308_028 4","COGO",1,1,"1","1","4147","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 4","common goldeneye"
"90","150","20120308_028 5","COLO",1,1,"1","1","4166","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 5","common loon"
"91","151","20120308_028 6","BUFF",19,25,"20","16","4199","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 6","bufflehead"
"92","152","20120308_028 7","BLBR",8,2,"8","2","4203","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","8 7","goose"
"93","153","20120308_028 7","HOGR",1,1,"0","0","4209","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 7","horned grebe"
"94","154","20120308_028 7","UNDD",0,0,"0","2","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 7","UNDD"
"95","155","20120308_028 7","UNDU",0,0,"0","0","4212","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 7","UNDU"
"96","156","20120308_028 7","UNGU",0,0,"0","0","4214","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 7","gull"
"97","157","20120308_028 8","BLBR",7,6,"4","4","4222","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","8 8","goose"
"98","158","20120308_028 8","HOGR",2,2,"0","0","4215","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 8","horned grebe"
"99","159","20120308_028 8","UNDU",0,0,"0","0","4224","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 8","UNDU"
"100","160","20120308_028 8","WWSC",2,3,"2","2","4214","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 8","white-winged scoter"
"101","161","20120308_028 9","UNGU",0,0,"1","1","4228","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 9","gull"
"102","162","20120308_029 1","BLBR",10,4,"10","8","4283","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","9 1","goose"
"103","163","20120308_029 1","BUFF",0,1,"0","0","4287","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 1","bufflehead"
"104","164","20120308_029 1","UNSB",0,0,"0","0","4283","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9 1","UNSB"
"105","165","20120308_029 2","BUFF",0,0,"1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 2","bufflehead"
"106","166","20120308_029 2","COGO",3,3,"2","2","4288","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 2","common goldeneye"
"107","167","20120308_029 2","COMU",0,0,"0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 2","common murre"
"108","168","20120308_029 2","UNDD",0,0,"1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 2","UNDD"
"109","169","20120308_029 2","UNDU",0,0,"0","0","2324","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 2","UNDU"
"110","170","20120308_029 2","UNSB",0,0,"0","0","4291","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 2","UNSB"
"111","171","20120308_029 3","BLBR",8,17,"18","17","4313","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","9 3","goose"
"112","172","20120308_029 4","UNGU",0,0,"1","1","4349","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 4","gull"
"113","173","20120308_029 5","UBWG",0,0,"3","2","4407","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","9 5","gull"
"114","174","20120308_029 5","UNGU",0,0,"0","0","4409","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","9 5","gull"
"115","175","20120308_030 1","MAMU",1,1,"0","0","4474","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0 1","marbled murrelet"
"116","176","20120308_030 1","LTDU",5,3,"3","3","4475","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0 1","long-tailed duck"
"117","177","20120308_030 1","RHAU",1,0,"0","0","2427","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0 1","rhinoceros auklet"
"118","178","20120308_030 1","UNDD",0,0,"1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0 1","UNDD"
"119","179","20120308_030 2","UNSB",0,0,"0","0","2429","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0 2","UNSB"
"120","180","20120308_030 3","COLO",0,0,"0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0 3","common loon"
"121","181","20120308_030 3","UNLO",0,0,"0","0","4487","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0 3","UNLO"
"122","182","20120308_030 4","UBWG",0,0,"1","1","4499","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0 4","gull"
"123","183","20120308_032 1","SUSC",0,1,"1","1","4584","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 1","surf scoter"
"124","184","20120308_032 2","LTDU",3,2,"0","1","4600","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 2","long-tailed duck"
"125","185","20120308_032 3","LTDU",1,1,"1","0","4616","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 3","long-tailed duck"
"126","186","20120308_032 4","LTDU",1,0,"0","0","2531","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 4","long-tailed duck"
